score unemp wage distance tuition gender1 gender2 ethnicity1 ethnicity2 ethnicity3 fcollege1 fcollege2 mcollege1 mcollege2 home1 home2 urban1 urban2 income1 income2 region1 region2 y
1 -1.11918282801025 -0.541766188534521 -0.811952470822341 -0.436575525570748 -0.358665212285755 1 0 0 1 0 1 0 1 0 1 0 1 0 0 1 0 1 12
2 0.543670275244878 -0.360841503166137 -0.454561165168669 -0.262445018367708 -1.6409189244301 0 1 0 1 0 1 0 1 0 0 1 1 0 0 1 0 1 16
3 0.221901909306837 1.15892595745423 -0.923636854423616 0.95646840231623 -0.586556750004666 0 1 0 0 1 1 0 1 0 0 1 1 0 0 1 1 0 17
4 1.10331786555154 -0.541766188534521 2.57581592263766 -0.262445018367708 -0.297428844173734 1 0 0 0 1 0 1 0 1 0 1 1 0 0 1 0 1 16
5 0.734432983780441 1.88262469892777 0.312340020404356 -0.741303890472032 -1.05930545148537 1 0 0 1 0 1 0 1 0 0 1 1 0 0 1 1 0 17
6 0.273614784169589 0.145747650373982 0.580382967090619 -0.349510284942961 0.345391502132925 0 1 0 0 1 0 1 0 1 0 1 0 1 0 1 1 0 12
7 1.1676712757143 0.145747650373982 0.580382967090619 -0.610706019800053 0.345391502132925 1 0 0 0 1 1 0 1 0 0 1 1 0 0 1 1 0 16
8 1.71237949364402 0.39904214087243 0.342122570036157 0.0858159441434357 1.73650998574131 0 1 0 0 1 1 0 1 0 0 1 1 0 0 1 1 0 12
9 -1.17893987914334 -0.28847152549285 0.312340020404356 0.825870554348285 -1.05930545148537 1 0 0 1 0 1 0 1 0 1 0 1 0 0 1 1 0 15
10 1.46875449170724 -0.975985364401353 0.312340020404356 -0.131847170399763 -1.05930545148537 0 1 0 0 1 0 1 1 0 0 1 0 1 0 1 1 0 16
11 -1.18123827784554 2.31684387479459 1.97271840500359 0.738805287773031 1.03584042735557 1 0 0 0 1 1 0 1 0 0 1 1 0 0 1 1 0 12
12 0.0817026570955576 1.81025489379768 1.57809944486414 0.172881210718689 1.27733992983451 0 1 0 0 1 0 1 1 0 0 1 1 0 0 1 1 0 18
13 0.596532568646088 -0.541766188534521 -0.811952470822341 -0.523640766198534 -0.358665212285755 1 0 0 1 0 1 0 1 0 0 1 0 1 0 1 0 1 14
14 -0.584817623427819 -0.433211308296202 -1.45972345786813 1.39179463140263 0.0120816896111108 1 0 0 0 1 0 1 1 0 0 1 1 0 1 0 1 0 13
15 -0.780177129367782 3.04054261626812 0.975002637302044 0.0858159441434357 0.916813661100694 1 0 0 0 1 1 0 0 1 0 1 1 0 0 1 1 0 12
16 -0.82269640942172 -0.360841503166137 -0.454561165168669 -0.262445018367708 -1.6409189244301 1 0 0 1 0 1 0 1 0 0 1 1 0 0 1 0 1 14
17 -1.16514992530485 -1.04835534207464 -0.454561165168669 -0.523640766198534 -1.6409189244301 0 1 0 0 1 0 1 0 1 1 0 1 0 0 1 0 1 16
18 -0.908884388068054 1.6293302084293 0.342122570036157 -0.56717339948616 1.73650998574131 1 0 0 0 1 1 0 1 0 0 1 0 1 1 0 1 0 13
